e	000
g	00100
I	001010000
B	0010100010
J	0010100011
F	001010010
5	001010011
y	0010101
b	0010110
.	0010111
,	001100
f	001101
l	00111
d	01000
h	01001
o	0101
c	01100
u	011010
m	011011
r	0111
n	1000
s	1001
t	1010

	10110000
T	101100010
M	101100011
w	1011001
S	10110100
V	1011010100
H	10110101010
-	10110101011
P	101101011
v	1011011
p	101110
k	10111100
8	101111010
R	101111011
A	1011111000
z	1011111001
3	10111110100
D	10111110101
U	10111110110
j	10111110111
O	10111111000
6	10111111001
7	10111111010
4	10111111011
1	1011111110
9	1011111111
 	110
a	1110
i	1111
